Run,Amp,Conc (fg/ul),CT
1,2,1.00E+06,8.770
1,2,1.00E+06,8.830
1,2,1.00E+05,12.457
1,2,1.00E+05,12.572
1,2,1.00E+04,15.717
1,2,1.00E+04,15.664
1,2,1.00E+03,18.950
1,2,1.00E+03,18.975
1,2,1.00E+02,22.889
1,2,1.00E+02,22.831
1,2,0.00E+00,Undetermined
1,2,0.00E+00,Undetermined
1,3,1.00E+06,9.260
1,3,1.00E+06,9.215
1,3,1.00E+05,12.632
1,3,1.00E+05,12.618
1,3,1.00E+04,16.133
1,3,1.00E+04,16.150
1,3,1.00E+03,19.358
1,3,1.00E+03,16.121
1,3,1.00E+02,23.181
1,3,1.00E+02,23.133
1,3,0.00E+00,Undetermined
1,3,0.00E+00,Undetermined
1,4,1.00E+06,8.350
1,4,1.00E+06,8.450
1,4,1.00E+05,11.781
1,4,1.00E+05,11.846
1,4,1.00E+04,15.333
1,4,1.00E+04,15.319
1,4,1.00E+03,18.494
1,4,1.00E+03,18.517
1,4,1.00E+02,21.878
1,4,1.00E+02,21.860
1,4,0.00E+00,Undetermined
1,4,0.00E+00,Undetermined
1,5,1.00E+06,8.365
1,5,1.00E+06,8.507
1,5,1.00E+05,11.771
1,5,1.00E+05,11.977
1,5,1.00E+04,15.343
1,5,1.00E+04,15.358
1,5,1.00E+03,18.532
1,5,1.00E+03,18.698
1,5,1.00E+02,21.998
1,5,1.00E+02,22.002
1,5,0.00E+00,Undetermined
1,5,0.00E+00,Undetermined
1,7,1.00E+06,8.499
1,7,1.00E+06,8.545
1,7,1.00E+05,12.006
1,7,1.00E+05,12.068
1,7,1.00E+04,15.188
1,7,1.00E+04,15.185
1,7,1.00E+03,18.866
1,7,1.00E+03,18.940
1,7,1.00E+02,22.059
1,7,1.00E+02,22.063
1,7,0.00E+00,Undetermined
1,7,0.00E+00,Undetermined
2,1,1.00E+06,17.827
2,1,1.00E+06,17.858
5,1,1.00E+06,17.267
2,1,1.00E+05,21.327
2,1,1.00E+05,21.314
4,1,1.00E+05,20.742
4,1,1.00E+05,20.952
4,1,1.00E+05,20.889
5,1,1.00E+05,20.981
6,1,1.00E+05,23.856
6,1,1.00E+05,23.504
6,1,1.00E+05,23.457
2,8,1.00E+06,9.962
2,8,1.00E+06,10.028
2,8,1.00E+05,13.674
2,8,1.00E+05,13.634
2,8,1.00E+04,17.113
2,8,1.00E+04,17.074
2,8,1.00E+03,20.539
2,8,1.00E+03,20.512
2,8,1.00E+02,23.946
2,8,1.00E+02,23.871
2,8,0.00E+00,Undetermined
2,8,0.00E+00,Undetermined
2,9,1.00E+06,8.537
2,9,1.00E+06,8.524
2,9,1.00E+05,12.129
2,9,1.00E+05,12.125
2,9,1.00E+04,15.593
2,9,1.00E+04,15.527
2,9,1.00E+03,18.920
2,9,1.00E+03,18.937
2,9,1.00E+02,22.311
2,9,1.00E+02,22.300
2,9,0.00E+00,Undetermined
2,9,0.00E+00,Undetermined
2,10,1.00E+06,8.483
2,10,1.00E+06,8.874
2,10,1.00E+05,12.581
2,10,1.00E+05,11.904
2,10,1.00E+04,15.536
2,10,1.00E+04,15.748
2,10,1.00E+03,18.870
2,10,1.00E+03,18.948
2,10,1.00E+02,22.273
2,10,1.00E+02,22.522
2,10,0.00E+00,Undetermined
2,10,0.00E+00,Undetermined
3,4,1.00E+06,8.665
3,4,1.00E+06,8.654
3,4,1.00E+06,8.705
3,4,1.00E+05,12.090
3,4,1.00E+05,12.112
3,4,1.00E+05,12.108
3,4,1.00E+04,15.411
3,4,1.00E+04,15.438
3,4,1.00E+04,15.454
3,4,1.00E+03,18.739
3,4,1.00E+03,18.739
3,4,1.00E+03,18.744
3,4,1.00E+02,22.015
3,4,1.00E+02,22.028
3,4,1.00E+02,22.057
3,4,1.00E+01,25.419
3,4,1.00E+01,25.426
3,4,1.00E+01,25.366
3,4,1.00E+00,28.886
3,4,1.00E+00,28.861
3,4,1.00E+00,28.904
3,4,1.00E-01,32.120
3,4,1.00E-01,32.275
3,4,1.00E-01,32.343
3,4,1.00E-02,35.263
3,4,1.00E-02,35.506
3,4,1.00E-02,35.353
3,4,1.00E-03,37.882
3,4,1.00E-03,0
3,4,1.00E-03,39.332
3,4,1.00E-04,0
3,4,1.00E-04,0
3,4,1.00E-04,0
3,4,0.00E+00,0
3,4,0.00E+00,0
3,4,0.00E+00,0
8,1,1.00E+05,21.062
8,1,1.00E+05,21.207
2,1,1.00E+04,24.571
2,1,1.00E+04,24.798
5,1,1.00E+04,24.715
6,1,1.00E+04,26.741
6,1,1.00E+04,26.385
6,1,1.00E+04,26.439
8,1,1.00E+04,24.304
8,1,1.00E+04,24.516
2,1,1.00E+03,28.226
2,1,1.00E+03,28.184
4,1,1.00E+03,27.750
4,1,1.00E+03,27.947
4,1,1.00E+03,27.894
5,1,1.00E+03,28.044
6,1,1.00E+03,30.828
6,1,1.00E+03,30.560
4,2,1.00E+05,11.906
4,2,1.00E+05,11.923
